,api_call_full,slices,metric,run_type,run_time_sec,slice-seconds,cpu_pct_mean,cpu_pct_p90,gpu_pct_mean,gpu_pct_p90,cpu_usage_mean,cpu_usage_p90,mem_process,mem_container_limit,mem_container_used,mem_container_avail,mem_system_total,mem_system_used,mem_system_avail,,
51,buildDepthMaps_1x1g,1,max,mig,12925.0,12925.0,36.0,67.0,NA,NA,3.3,5.4,8.2,115.1,47.8,85.4,115.1,40.8,96.2,,56
52,buildDepthMaps_1x1g,1,mean,mig,11090.0,11090.0,28.7,57.0,NA,NA,3.2,5.3,7.6,115.1,36.9,78.3,115.1,32.4,82.7,,2.015085762
53,buildDepthMaps_1x2g,2,max,mig,8024.0,16048.0,24.0,32.0,NA,NA,4.2,6.3,9.8,115.1,55.9,67.6,115.1,16.0,101.6,,
54,buildDepthMaps_1x2g,2,mean,mig,7041.0,14082.0,20.3,27.7,NA,NA,4.0,5.9,8.7,115.1,52.7,62.4,115.1,15.1,100.0,,
55,buildDepthMaps_1x3g,3,max,mig,6346.0,19038.0,29.0,37.0,NA,NA,4.7,6.4,9.2,115.1,49.8,66.9,115.1,18.3,106.2,,
56,buildDepthMaps_1x3g,3,mean,mig,5551.3,16654.0,24.0,31.0,NA,NA,4.6,6.2,7.8,115.1,48.9,66.3,115.1,15.2,99.9,,1.605075261
57,buildDepthMaps_2x1g,2,max,mig,7221.0,14442.0,60.0,72.0,NA,NA,5.6,7.7,11.9,115.1,44.0,81.2,115.1,40.6,74.7,,
58,buildDepthMaps_2x1g,2,mean,mig,6452.0,12904.0,57.3,71.3,NA,NA,5.4,7.4,11.0,115.1,38.6,76.5,115.1,40.5,74.6,,0.142857143
59,buildDepthMaps_3x1g,3,max,mig,5328.0,15984.0,54.0,72.0,NA,NA,7.4,11.2,15.2,115.1,51.5,94.2,115.1,37.4,96.2,1.106771915,
60,buildDepthMaps_3x1g,3,mean,mig,4710.3,14131.0,46.3,61.7,NA,NA,7.4,11.0,14.0,115.1,40.9,74.3,115.1,31.2,83.9,,
61,buildDepthMaps_cpu,7,max,large,4142.0,591.7,20.0,29.0,60.0,99.0,6.3,9.2,8.9,115.1,57.6,66.6,115.1,11.9,106.1,,
62,buildDepthMaps_cpu,7,max,xl,4007.0,28049.0,21.0,30.0,58.0,99.0,6.6,9.5,8.1,115.1,57.2,67.0,115.1,10.9,106.0,,
63,buildDepthMaps_cpu,3.5,mean,large,3711.7,12990.8,19.3,27.7,58.7,97.3,6.0,8.7,7.9,115.1,54.5,60.6,115.1,10.8,104.4,,
64,buildDepthMaps_cpu,7,mean,xl,3637.0,25459.0,19.3,28.3,57.0,97.3,6.2,9.0,7.5,115.1,53.9,61.3,115.1,10.3,104.9,,
65,buildDepthMaps_gpu,7,max,xl,4132.0,28924.0,20.0,30.0,60.0,99.0,6.4,9.7,8.3,115.1,57.5,67.0,115.1,11.1,106.4,0.737847943,
66,buildDepthMaps_gpu,7,mean,xl,3714.7,26002.7,19.0,27.3,57.7,97.7,6.0,8.7,7.5,115.1,54.2,60.9,115.1,10.3,104.8,,4.361166216
67,buildModel_cpu,7,max,large,13317.0,1902.4,62.0,100.0,NA,NA,10.4,15.9,13.1,58.9,39.3,28.3,58.9,14.6,44.5,,
68,buildModel_cpu,7,max,xl,11103.0,77721.0,51.0,94.0,NA,NA,16.5,30.0,16.7,122.8,39.3,90.2,122.8,18.8,106.4,,
