"","api_call_full","metric","run_type","run_time_sec","cpu_pct_mean","cpu_pct_p90","gpu_pct_mean","gpu_pct_p90","cpu_usage_mean","cpu_usage_p90","mem_process","mem_container_limit","mem_container_used","mem_container_avail","mem_system_total","mem_system_used","mem_system_avail"
"72","exportRaster (ortho-dsm-mesh)_cpu","mean","xl",100.6,7.8,14.1,NA,NA,2.36,4.41,2.03,122.8,43.23,79.62,122.8,4.08,118.75
"73","exportRaster (ortho-dsm-ptcloud)_cpu","max","large",99,14,26,NA,NA,2.1,4,2.1,58.9,48.8,56.3,58.9,3.6,56.7
"74","exportRaster (ortho-dsm-ptcloud)_cpu","max","xl",258,9,17,NA,NA,2.7,5.3,2.6,122.8,113.2,120,122.8,4.8,119.8
"75","exportRaster (ortho-dsm-ptcloud)_cpu","mean","large",55.8571428571429,13.2857142857143,22,NA,NA,2,3.4,1.54285714285714,58.9,28.9285714285714,29.9142857142857,58.9,2.95714285714286,55.9
"76","exportRaster (ortho-dsm-ptcloud)_cpu","mean","xl",94,7.8,14.3,NA,NA,2.38,4.47,1.8,122.8,42.39,80.44,122.8,3.82,119
"77","exportReport_cpu","max","large",22,22,100,NA,NA,3.3,15.8,0.6,58.9,2,58.5,58.9,2,57.2
"78","exportReport_cpu","max","xl",53,14,36,NA,NA,4.4,11.5,0.9,122.8,4.1,122.5,122.8,3,120.6
"79","exportReport_cpu","mean","large",15,18.1428571428571,56.8571428571429,NA,NA,2.72857142857143,8.95714285714286,0.428571428571429,58.9,1.37142857142857,57.5,58.9,1.85714285714286,57
"80","exportReport_cpu","mean","xl",18.6,9.4,16.4,NA,NA,2.86,5.11,0.49,122.8,1.75,121.08,122.8,2.56,120.27
"81","matchPhotos_cpu","max","large",3276,61,88,NA,NA,9.6,14,5.3,58.9,43.9,58.3,58.9,6.6,56.9
"82","matchPhotos_cpu","max","xl",7300,52,87,NA,NA,16.5,27.3,14.9,122.8,111.9,121.6,122.8,17,120.4
"83","matchPhotos_cpu","mean","large",1787.42857142857,57.2857142857143,81,NA,NA,9.07142857142857,12.8428571428571,2.27142857142857,58.9,25.0142857142857,33.8285714285714,58.9,3.62857142857143,55.2142857142857
"84","matchPhotos_cpu","mean","xl",1985.2,46.8,62.4,NA,NA,14.88,19.86,3.61,122.8,35.91,86.93,122.8,5.61,117.24
"85","matchPhotos_gpu","max","xl",3958,10,30,16,84,2.9,9.6,15,115.1,99.7,113.8,115.1,17.8,111.6
"86","matchPhotos_gpu","mean","xl",1121.1,8.5,25.7,12.3,49.3,2.58,8.04,3.65,115.1,34.86,80.27,115.1,6.45,108.69
"87","optimizeCameras_cpu","max","large",118,70,100,NA,NA,11.1,16,4.2,58.9,5.2,58.6,58.9,5.5,57
"88","optimizeCameras_cpu","max","xl",872,66,100,NA,NA,21.1,31.9,18.2,122.8,20,122.5,122.8,20.3,120.5
"89","optimizeCameras_cpu","mean","large",64.5714285714286,61.8571428571429,95.7142857142857,NA,NA,9.78571428571428,15.2714285714286,2.41428571428571,58.9,3.01428571428571,55.8285714285714,58.9,3.77142857142857,55.0714285714286
"90","optimizeCameras_cpu","mean","xl",137.4,53,93.2,NA,NA,16.85,29.74,4.29,122.8,5.08,117.74,122.8,6.24,116.6
