,api_call_full,metric,run_type,run_time_sec,cpu_pct_mean,cpu_pct_p90,gpu_pct_mean,gpu_pct_p90,cpu_usage_mean,cpu_usage_p90,core-seconds,ratio,mem_process,mem_container_limit,mem_container_used,mem_container_avail,mem_system_total,mem_system_used,mem_system_avail,,,,,,,,,,,,,,,,,,
57,exportRaster (DSM-mesh)_cpu,max,large,9.0,14.0,22.0,NA,NA,2.1,3.4,18.9,,0.8,58.9,3.4,58.3,58.9,2.2,57.2,,,,,,,,,,,,,,,,,,
58,exportRaster (DSM-mesh)_cpu,max,xl,9.0,10.0,15.0,NA,NA,3.4,4.7,30.6,,0.9,122.8,3.4,122.4,122.8,2.8,120.6,,,,,,,,,,,,,,,,,,
59,exportRaster (DSM-mesh)_cpu,mean,large,4.1,11.9,16.7,NA,NA,1.8,2.6,7.5,,0.6,58.9,2.1,56.8,58.9,1.9,56.9,,,,,,,,,,,8.75,,,,,,,
60,exportRaster (DSM-mesh)_cpu,mean,xl,3.6,9.0,12.6,NA,NA,2.8,4.0,10.1,1.3,0.6,122.8,2.0,120.9,122.8,2.6,120.3,,,,,,,,,,,,,,,,,,
61,exportRaster (DSM-ptcloud)_cpu,max,large,7.0,16.0,24.0,NA,NA,2.4,3.8,16.8,,0.6,58.9,2.2,58.5,58.9,2.0,57.3,,,,,,,,,,,,,,,,,,
62,exportRaster (DSM-ptcloud)_cpu,max,xl,7.0,11.0,17.0,NA,NA,3.4,5.4,23.8,,0.7,122.8,2.3,122.5,122.8,2.6,120.6,,,,,,,,,,,,,,,,,,
63,exportRaster (DSM-ptcloud)_cpu,mean,large,3.9,11.6,16.3,NA,NA,1.8,2.5,6.8,,0.5,58.9,1.4,57.5,58.9,1.9,57.0,,,,,,,,,,,,,,,,,,
64,exportRaster (DSM-ptcloud)_cpu,mean,xl,3.6,8.6,12.1,NA,NA,2.6,3.9,9.4,1.4,0.5,122.8,1.3,121.5,122.8,2.5,120.4,,,,,,,,,,,,,,,,,,
65,exportRaster (DTM-ptcloud)_cpu,max,large,6.0,16.0,24.0,NA,NA,2.4,3.7,14.4,,0.6,58.9,2.6,58.4,58.9,2.0,57.2,,,,,,,,,,,,,,,,,,
66,exportRaster (DTM-ptcloud)_cpu,max,xl,6.0,15.0,17.0,NA,NA,4.9,5.6,29.4,,0.7,122.8,2.6,122.4,122.8,2.6,120.6,,,,,,,,,,,,,,,,,,
67,exportRaster (DTM-ptcloud)_cpu,mean,large,3.7,12.6,16.9,NA,NA,1.9,2.6,7.2,,0.5,58.9,1.6,57.2,58.9,1.9,57.0,,,,,,,,,,,,,,,,,,
68,exportRaster (DTM-ptcloud)_cpu,mean,xl,3.3,10.1,13.1,NA,NA,3.2,4.2,10.5,1.5,0.5,122.8,1.6,121.2,122.8,2.4,120.4,,,,,,,,,,,,,,,,,,
69,exportRaster (ortho-dsm-mesh)_cpu,max,large,128.0,14.0,27.0,NA,NA,2.1,4.2,268.8,,2.2,58.9,46.1,55.6,58.9,3.7,56.3,,,,,,,,,,,,,,,,,,
70,exportRaster (ortho-dsm-mesh)_cpu,max,xl,124.0,8.0,16.0,NA,NA,2.5,4.9,310.0,,2.5,122.8,63.8,119.9,122.8,4.5,119.6,,,,,,,,,,,,,,,,,,
71,exportRaster (ortho-dsm-mesh)_cpu,mean,large,59.1,13.3,22.6,NA,NA,2.0,3.5,118.3,,1.6,58.9,28.6,30.2,58.9,3.1,55.8,,,,,,,,,,,,,,,,,,
72,exportRaster (ortho-dsm-mesh)_cpu,mean,xl,58.0,7.7,13.9,NA,NA,2.3,4.3,135.9,1.1,1.8,122.8,32.3,90.6,122.8,3.8,119.0,,,,,,,,,,,,,,,,,,
73,exportRaster (ortho-dsm-ptcloud)_cpu,max,large,99.0,14.0,26.0,NA,NA,2.1,4.0,207.9,,2.1,58.9,48.8,56.3,58.9,3.6,56.7,,,,,,,,,,,,,,,,,,
74,exportRaster (ortho-dsm-ptcloud)_cpu,max,xl,92.0,9.0,17.0,NA,NA,2.7,5.2,248.4,,2.4,122.8,60.6,120.0,122.8,4.5,119.8,,,,,,,,,,,,,,,,,,
75,exportRaster (ortho-dsm-ptcloud)_cpu,mean,large,55.9,13.3,22.0,NA,NA,2.0,3.4,111.7,,1.5,58.9,28.9,29.9,58.9,3.0,55.9,,,,,,,,,,,,,,,,,,
76,exportRaster (ortho-dsm-ptcloud)_cpu,mean,xl,54.1,7.9,14.1,NA,NA,2.4,4.4,129.2,1.2,1.7,122.8,32.8,90.0,122.8,3.6,119.2,,,,,,,,,,,,,,,,,,
77,exportReport_cpu,max,large,22.0,22.0,100.0,NA,NA,3.3,15.8,72.6,,0.6,58.9,2.0,58.5,58.9,2.0,57.2,,,,,,,,,,,,,,,,,,
78,exportReport_cpu,max,xl,22.0,14.0,36.0,NA,NA,4.4,11.5,96.8,,0.6,122.8,2.0,122.5,122.8,2.6,120.6,,,,,,,,,,,,,,,,,,
79,exportReport_cpu,mean,large,15.0,18.1,56.9,NA,NA,2.7,9.0,40.9,,0.4,58.9,1.4,57.5,58.9,1.9,57.0,,,,,,,,,,,,,,,,,,
80,exportReport_cpu,mean,xl,13.3,10.6,21.4,NA,NA,3.2,6.8,43.1,1.1,0.4,122.8,1.4,121.5,122.8,2.5,120.4,,,,,,,,,,,,,,,,,,
81,matchPhotos_cpu,max,large,3276.0,61.0,88.0,NA,NA,9.6,14.0,31449.6,,5.3,58.9,43.9,58.3,58.9,6.6,56.9,,,,,,,,,,,,,,,,,,
82,matchPhotos_cpu,max,xl,2319.0,52.0,87.0,NA,NA,16.5,27.3,38263.5,,5.2,122.8,44.7,121.6,122.8,7.2,120.4,,,,,,,,,,,,,,,,,,
83,matchPhotos_cpu,mean,large,1787.4,57.3,81.0,NA,NA,9.1,12.8,16214.5,,2.3,58.9,25.0,33.8,58.9,3.6,55.2,,,,,,,,,,,,,,,,,,
84,matchPhotos_cpu,mean,xl,1244.4,47.4,64.3,NA,NA,15.1,20.4,18773.1,1.2,2.2,122.8,24.9,97.9,122.8,4.2,118.6,,,,,,,,,,,,,,,,,,
85,matchPhotos_gpu,max,xl,1362.0,10.0,30.0,16.0,84.0,2.9,9.6,3949.8,,5.1,115.1,44.6,113.8,115.1,8.0,111.6,,,,,,,,,,,,,,,,,,
86,matchPhotos_gpu,mean,xl,724.9,8.3,24.6,11.9,44.3,2.5,7.7,1812.1,,2.3,115.1,25.2,89.9,115.1,5.1,110.1,,,,,,,,,,,,,,,,,,
87,optimizeCameras_cpu,max,large,118.0,70.0,100.0,NA,NA,11.1,16.0,1309.8,,4.2,58.9,5.2,58.6,58.9,5.5,57.0,,,,,,,,,,,,,,,,,,
88,optimizeCameras_cpu,max,xl,88.0,63.0,100.0,NA,NA,20.0,31.9,1760.0,,4.8,122.8,5.8,122.5,122.8,6.8,120.5,,,,,,,,,,,,,,,,,,
89,optimizeCameras_cpu,mean,large,64.6,61.9,95.7,NA,NA,9.8,15.3,631.9,,2.4,58.9,3.0,55.8,58.9,3.8,55.1,,,,,,,,,,,,,,,,,,
90,optimizeCameras_cpu,mean,xl,48.3,53.0,91.1,NA,NA,16.8,29.1,812.6,1.3,2.7,122.8,3.3,119.5,122.8,4.6,118.2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
